"id","name","email","password","restaurantname","restaurantaddress"
1,"peter chan","test@gmail.com","hellotest","petes","123 st nw 456"
2,"han","test11@gmail.com","pass123","popess","3rd st"
3,"meanman","test123@gmail.com","ewfwe","peters","4th st nw "
4,"drake
","tester1@gmail.com","eafeyhyhd","fillers","south lake"
5,"faker","tester2@gmail.com","rgsthshd","geees","north lake"
6,"flake","tester3@gmail.com","iujghf","cheeseee","lakeb ave"
7,"hamss","tester4@gmail.com","fsdgfgm","restaurant1","blake dr"
8,"eliz","testing1@gmail.com","hryjrdjg","test2","driver rd"
9,"treatt","testing2@gmail.com","sthsthdgn","test1","car st 4th nw"
10,"walter","testing3@gmail.com","gethrhrg","tinkers","new rider st ne"
